Date,Open,High,Low,Close,Volume
2021-03-01 00:00:00,35000.0,35040.45,34882.88,35000.0,366.45730256120106
2021-03-01 00:15:00,35000.0,35073.85,34872.68,35047.546059037326,418.10602048784403
2021-03-01 00:30:00,35047.546059037326,35365.11,34946.25,35095.08779722174,1317.06056162701
2021-03-01 00:45:00,35095.08779722174,35148.1,34855.7,35142.620894197586,1629.6266683256642
2021-03-01 01:00:00,35142.620894197586,35479.87,35097.58,35190.14103060364,1262.883825606328
2021-03-01 01:15:00,35190.14103060364,35557.09,34859.19,35237.643888570215,1765.5459106864039
2021-03-01 01:30:00,35237.643888570215,35578.01,34945.39,35285.12515221603,245.8064242140946
2021-03-01 01:45:00,35285.12515221603,35355.39,35166.06,35332.58050814492,889.6272298499343
2021-03-01 02:00:00,35332.58050814492,35489.64,35197.35,35380.00564594222,1356.7983664019694
2021-03-01 02:15:00,35380.00564594222,35481.51,35090.16,35427.39625867079,573.7579100017734
2021-03-01 02:30:00,35427.39625867079,35803.31,35150.97,35474.74804336672,1656.9044707746907
2021-03-01 02:45:00,35474.74804336672,35866.76,35203.44,35522.05670153446,1330.323349807236
2021-03-01 03:00:00,35522.05670153446,35727.15,35386.51,35569.3179396415,841.9349130827103
2021-03-01 03:15:00,35569.3179396415,35806.98,35288.51,35616.52746961255,202.55949188672813
2021-03-01 03:30:00,35616.52746961255,35940.07,35535.73,35663.68100932291,1087.5098244760034
2021-03-01 03:45:00,35663.68100932291,35988.59,35468.09,35710.774283091356,1179.588329149176
2021-03-01 04:00:00,35710.774283091356,36018.49,35444.32,35757.803022172135,992.1402510981831
2021-03-01 04:15:00,35757.803022172135,35957.92,35421.32,35804.76296524624,594.9828585279786
2021-03-01 04:30:00,35804.76296524624,36191.76,35591.47,35851.64985891181,316.6811943392107
2021-03-01 04:45:00,35851.64985891181,36186.19,35791.16,35898.459458173595,328.94285240070485
2021-03-01 05:00:00,35898.459458173595,36056.78,35861.01,35945.18752693151,572.3779887557016
2021-03-01 05:15:00,35945.18752693151,36169.42,35890.56,35991.82983846812,1750.1662241005322
2021-03-01 05:30:00,35991.82983846812,36157.75,35977.02,36038.38217593502,436.6341261650829
2021-03-01 05:45:00,36038.38217593502,36408.79,35741.86,36084.84033283817,498.19814473561104
2021-03-01 06:00:00,36084.84033283817,36477.75,36007.73,36131.20011352197,1219.8727938303227
2021-03-01 06:15:00,36131.20011352197,36215.53,36084.17,36177.45733365206,1101.259600481678
2021-03-01 06:30:00,36177.45733365206,36573.05,36118.9,36223.607820696925,317.2749688756432
2021-03-01 06:45:00,36223.607820696925,36539.48,36090.51,36269.64741440803,631.3679539615358
2021-03-01 07:00:00,36269.64741440803,36368.53,36144.43,36315.57196729859,890.3314418992047
2021-03-01 07:15:00,36315.57196729859,36714.76,36148.06,36361.37734512089,920.0909503578469
2021-03-01 07:30:00,36361.37734512089,36504.74,36272.32,36407.05942734205,1039.8254768991546
2021-03-01 07:45:00,36407.05942734205,36780.47,36276.19,36452.6141076182,1894.5702645147985
